brand,model,price,year,kilometers,power,link
Renault,Clio,15000,2004,185000,43,/osobni/detail/renault/clio/18527453?goFrom=list
Daewoo,Matiz,15000,2003,65775,38,/osobni/detail/daewoo/matiz/18772926?goFrom=list
Toyota,Corolla,15000,2003,85000,66,/osobni/detail/toyota/corolla/18132999?goFrom=list
Renault,Laguna,15000,2003,119000,99,/osobni/detail/renault/laguna/18807701?goFrom=list
MG,,15000,2002,85000,86,/osobni/detail/mg/ostatni/16772017?goFrom=list
Ford,Focus,15000,2002,175000,66,/osobni/detail/ford/focus/18652961?goFrom=list
Chrysler,PT Cruiser,15000,2002,181945,104,/osobni/detail/chrysler/pt-cruiser/17879823?goFrom=list
Renault,Clio,15000,2002,185000,60,/osobni/detail/renault/clio/16865271?goFrom=list
Ford,Fiesta,15000,2001,112850,37,/osobni/detail/ford/fiesta/18770102?goFrom=list
Škoda,Felicia,15000,2001,151900,50,/osobni/detail/skoda/felicia/18666200?goFrom=list
Peugeot,307,15000,2001,167000,80,/osobni/detail/peugeot/307/18647629?goFrom=list
Mazda,Demio,15000,2001,168500,46,/osobni/detail/mazda/demio/18733191?goFrom=list
Opel,Corsa,15000,2001,175000,43,/osobni/detail/opel/corsa/18782402?goFrom=list
Nissan,Primera,15000,2001,183900,84,/osobni/detail/nissan/primera/18525280?goFrom=list
Fiat,Punto,15000,2000,113000,44,/osobni/detail/fiat/punto/18809469?goFrom=list
Citroën,Saxo,15000,2000,170000,37,/osobni/detail/citroen/saxo/18613274?goFrom=list
Renault,Twingo,15000,2000,176054,43,/osobni/detail/renault/twingo/18756553?goFrom=list
Citroën,C5,15777,2001,130000,103,/osobni/detail/citroen/c5/16522950?goFrom=list
Renault,Grand Espace,15777,2000,150000,140,/osobni/detail/renault/grand-espace/16523118?goFrom=list
Renault,Laguna,15900,2002,179500,98,/osobni/detail/renault/laguna/18376646?goFrom=list
Hyundai,Accent,15999,2005,176000,63,/osobni/detail/hyundai/accent/18761087?goFrom=list
Peugeot,307,16000,2005,122264,103,/osobni/detail/peugeot/307/18811029?goFrom=list
Fiat,Punto,16000,2004,198708,44,/osobni/detail/fiat/punto/18675905?goFrom=list
Peugeot,307,16000,2001,162607,80,/osobni/detail/peugeot/307/18732683?goFrom=list
Škoda,Fabia,16000,2001,166940,44,/osobni/detail/skoda/fabia/18791497?goFrom=list
Daewoo,Matiz,16000,2000,81840,37,/osobni/detail/daewoo/matiz/18794604?goFrom=list
Seat,Arosa,16000,2000,89500,37,/osobni/detail/seat/arosa/18805337?goFrom=list
Citroën,Xsara,16000,2000,180458,55,/osobni/detail/citroen/xsara/18786167?goFrom=list
Kia,Clarus,16500,2001,127066,98,/osobni/detail/kia/clarus/18724742?goFrom=list
Fiat,Seicento,16900,2002,56980,40,/osobni/detail/fiat/seicento/18696446?goFrom=list
Daewoo,Matiz,16900,2002,96600,38,/osobni/detail/daewoo/matiz/18580065?goFrom=list
Daewoo,Lanos,16900,2002,139980,63,/osobni/detail/daewoo/lanos/18779158?goFrom=list
Fiat,Seicento,16900,2000,96700,29,/osobni/detail/fiat/seicento/18763254?goFrom=list
Renault,Twingo,16900,2000,161470,43,/osobni/detail/renault/twingo/18621650?goFrom=list
Hyundai,Accent,17000,2005,121566,63,/osobni/detail/hyundai/accent/18811991?goFrom=list
Suzuki,Alto,17000,2003,148000,46,/osobni/detail/suzuki/alto/18710934?goFrom=list
Smart,Fortwo,17000,2001,107000,45,/osobni/detail/smart/fortwo/18743706?goFrom=list
Renault,Twingo,17000,2000,152000,43,/osobni/detail/renault/twingo/18811180?goFrom=list
Škoda,Felicia,17900,2000,109471,50,/osobni/detail/skoda/felicia/18666587?goFrom=list
Opel,Astra,17999,2001,173000,66,/osobni/detail/opel/astra/18771850?goFrom=list
Daewoo,Matiz,18000,2002,115000,37,/osobni/detail/daewoo/matiz/18450062?goFrom=list
Volkswagen,Lupo,18000,2002,135352,37,/osobni/detail/volkswagen/lupo/18805703?goFrom=list
Peugeot,206,18000,2001,180000,44,/osobni/detail/peugeot/206/18802056?goFrom=list
Fiat,Brava,18000,2000,137000,60,/osobni/detail/fiat/brava/18730065?goFrom=list
Ford,Fiesta,18500,2000,188700,55,/osobni/detail/ford/fiesta/18804845?goFrom=list
Peugeot,206,18800,2002,192000,80,/osobni/detail/peugeot/206/17714237?goFrom=list
Nissan,Micra,18800,2000,154304,40,/osobni/detail/nissan/micra/18732700?goFrom=list
